Academic Year,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Eircode,School Latitude,School Longitude,School Planning area,County,Local Authority,Principal Name,Email,Phone,Ethos/Religion,Post Primary School Type,Irish Classification - Post Primary,School Gender - Post Primary,Pupil Attendance Type,Fee Paying School (Y/N),Island Location (Y/N),Gaeltacht Area Location (Y/N),DEIS (Y/N),FEMALE,MALE,Total 2024-2025
2024.0,60010P,Loreto Secondary School,Brick Lane,Balbriggan,Co Dublin,,K32R248,53.612259,-6.185114,Balbriggan,Dublin,Fingal County Council,MS. ANN M MCDONOUGH,office@loretobalbriggan.ie,018411594,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,1232.0,,1232
2024.0,60021U,St Marys Secondary School,Main Street,Baldoyle,Dublin 13,,D13W208,53.396912,-6.127654,Donaghmede_Howth_D13,Dublin,Fingal County Council,MS. EDEL GREENE,info@stmarysbaldoyle.org,018325591,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,232.0,10.0,242
2024.0,60030V,Blackrock College,Blackrock College,Rock Road,Co. Dublin,,A94FK84,53.303651,-6.190339,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MS. YVONNE MARKEY,ymarkey@blackrockcollege.com,012752100,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Mixed,Y,N,N,N,,1053.0,1053
2024.0,60040B,Willow Park School,Rock Road,Blackrock,Co Dublin,,A94TW98,53.306045,-6.195357,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MR. ALAN JAMES THOMAS ROGAN,arogan@willowparkschool.ie,012881651,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Mixed,Y,N,N,N,,208.0,208
2024.0,60041D,Coláiste Eoin,Baile an Bhóthair,Bóthair Stigh Lorgan,Co. Átha Cliath,,A94E122,53.302626,-6.204946,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MR. P.S DE POIRE,ce@eoiniosagain.ie,012884002,CATHOLIC,Secondary,All pupils taught all subjects through Irish,Boys,Day,N,N,N,N,,510.0,510
2024.0,60042F,Coláiste Íosagáin,Bóthar Stigh Lorgan,Baile an Bhóthair,An Charraig Dhubh,Co Átha Cliath,A94KV12,53.3024,-6.204077,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MR. SEAN DELAP,eolas@eoiniosagain.ie,012884028,CATHOLIC,Secondary,All pupils taught all subjects through Irish,Girls,Day,N,N,N,N,488.0,,488
2024.0,60050E,Oatlands College,Mount Merrion,Co Dublin,,,A94HX38,53.292484,-6.202492,Dunlaoghaire,Dublin,Dun Laoghaire Rathdown,MS. CAROLINE GARRETT,cgarrett@oatlands.net,012888533,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,634.0,634
2024.0,60070K,Dominican College,Dominican College Sion Hill,Cross Avenue,Blackrock,Co Dublin,A94TP97,53.301595,-6.189684,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MS. ORLA CONDREN,admin@sionhillcollege.ie,012886791,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,508.0,,508
2024.0,60081P,Rockford Manor Secondary School,Stradbrook Rd,Blackrock,Co Dublin,,A94H294,53.287059,-6.163012,Dunlaoghaire,Dublin,Dun Laoghaire Rathdown,MS. MARY GALLAGHER,info@rockfordmanor.ie,01 2801522,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,285.0,,285
2024.0,60090Q,Rathdown School,Upper Glenageary Road,Glenageary,Co. Dublin,,A96NX44,53.276457,-6.129831,Sallynoggin_Killiney_DLR,Dublin,Dun Laoghaire Rathdown,BRIAN MOORE,admin@rathdownschool.ie,012853133,CHURCH OF IRELAND,Secondary,No subjects taught through Irish,Mixed,Mixed,Y,N,N,N,273.0,76.0,349
2024.0,60092U,Clonkeen College,Clonkeen Road,Blackrock,Co Dublin,,A94P206,53.269829,-6.15734,Sallynoggin_Killiney_DLR,Dublin,Dun Laoghaire Rathdown,MR. EDWARD MELLY,reception@clonkeencollege.ie,012892709,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,630.0,630
2024.0,60100Q,Castleknock College,College Rd,Castleknock,Dublin 15,,D15PD95,53.368411,-6.36861,Castleknock_D15,Dublin,Fingal County Council,MR. CHRISTOPHER WILLIAM KINDER,headmasterpa@castleknockcollege.ie,018213051,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,,775.0,775
2024.0,60120W,Mount Sackville Secondary School,Tower Road,Chapelizod,Dublin 20,,D20WP68,53.359833,-6.357088,Castleknock_D15,Dublin,Fingal County Council,MRS. EILEEN HIGGINS,info@mountsackville.ie,018213317,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,654.0,,654
2024.0,60121B,Moyle Park College,Clondalkin,Dublin 22,,,D22V072,53.320279,-6.397356,Clondalkin_D22,Dublin,South Dublin County Council,MS. NIAMH CAHALANE,info@moyleparkcollege.com,014574837,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,766.0,766
2024.0,60122D,Coláiste Bríde,New Road,Clondalkin,Dublin 22,,D22C6Y2,53.317418,-6.38961,Clondalkin_D22,Dublin,South Dublin County Council,MISS MARIE THERESE KILMARTIN,info@colaistebride.com,014591158,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,962.0,,962
2024.0,60130C,Loreto Abbey Secondary School,Dalkey,Co Dublin,,,A96YC81,53.279522,-6.09983,Dunlaoghaire,Dublin,Dun Laoghaire Rathdown,MR. ROBERT DUNNE,office@loretoabbeydalkey.ie,012718900,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,742.0,,742
2024.0,60140F,Mount Anville Secondary School,Mount Anville Road,Dublin 14,,,D14A8P3,53.29328,-6.222606,Goatstown_Stillorgan_DLR,Dublin,Dun Laoghaire Rathdown,MS. SINEAD NOLAN,office@mountanville.ie,012885313,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,712.0,,712
2024.0,60180R,Christian Brothers College,Monkstown Park,Dun Laoghaire,Co Dublin,,A96TF64,53.289767,-6.148051,Dunlaoghaire,Dublin,Dun Laoghaire Rathdown,MR. GERARD DUFFY,office@cbcmonkstown.ie,012805854,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,,564.0,564
2024.0,60240J,Loreto College Foxrock,Springfield Park,Foxrock,Dublin 18,,D18FT21,53.272796,-6.176827,Sallynoggin_Killiney_DLR,Dublin,Dun Laoghaire Rathdown,MRS. BERNADETTE PRENDIVILLE,admin@loretofoxrock.ie,012895637,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,637.0,,637
2024.0,60250M,Holy Child Killiney,Military Road,Killiney,Co. Dublin,,A96XP82,53.252851,-6.114771,Ballybrack_Shankill_DLR,Dublin,Dun Laoghaire Rathdown,MISS DEIRDRE MARIE HICKEY,admin@holychildkilliney.ie,012823120,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,395.0,,395
2024.0,60260P,St Joseph Of Cluny Secondary School,Ballinclea Road,Killiney,Co. Dublin,,A96DK13,53.270691,-6.123592,Sallynoggin_Killiney_DLR,Dublin,Dun Laoghaire Rathdown,MR. BENEDICT GERARD HEALY,office@clunykilliney.ie,012855027,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,Y,N,N,N,256.0,,256
2024.0,60261R,St Benildus College,Upper Kilmacud Rd,Stillorgan,Blackrock,Co Dublin,A94X886,53.284637,-6.221381,Goatstown_Stillorgan_DLR,Dublin,Dun Laoghaire Rathdown,MRS. MARY P BROHAN,stbenildusoffice@stbenilduscollege.com,012986539,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,925.0,925
2024.0,60262T,St Laurence College,Loughlinstown,Dublin 18,,,D18AK07,53.250937,-6.138403,Sallynoggin_Killiney_DLR,Dublin,Dun Laoghaire Rathdown,CILLIAN O'RIORDAN,secretary@stlaurencecollege.com,012826930,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,149.0,132.0,281
2024.0,60263V,St Joseph's College,Lucan,Co Dublin,,,K78VW74,53.358056,-6.440358,Lucan,Dublin,South Dublin County Council,MS. BERNADETTE FITZGERALD,stjosephslucan@gmail.com,016281160,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,937.0,,937
2024.0,60264A,Coláiste Phádraig CBS,Roselawn,Lucan,Co. Dublin,,K78E927,53.356896,-6.432676,Lucan,Dublin,South Dublin County Council,MR. THOMAS O MEARA,admin@colaistephadraig.com,016282299,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,704.0,704
2024.0,60272W,The Kings Hospital,Palmerstown,Dublin 20,,,D20V256,53.358817,-6.385965,Palmerstown_Ronanstown_D20_22,Dublin,South Dublin County Council,MR MARK RONAN,headmaster@thekingshospital.ie,016436500,CHURCH OF IRELAND,Secondary,No subjects taught through Irish,Mixed,Mixed,Y,N,N,N,375.0,328.0,703
